TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,Latitude,Longitude,Location
45270,Permitted Site,Prunus cerasifera :: Cherry Plum,519 Crescent Ave,1.0,Sidewalk: Curb side : Cutout,37.734920713443145,-122.4160410994326,"(37.734920713443145, -122.4160410994326)"
236820,DPW Maintained,Prunus cerasifera :: Cherry Plum,38 Woodland Ave,1.0,Sidewalk: Curb side : Cutout,37.76344549404697,-122.45324294609884,"(37.76344549404697, -122.45324294609883)"
142613,DPW Maintained,Prunus cerasifera :: Cherry Plum,701 GREENWICH ST,2.0,Sidewalk: Curb side : Cutout,37.80200864482317,-122.41144797242691,"(37.80200864482317, -122.41144797242693)"
67366,DPW Maintained,Prunus cerasifera :: Cherry Plum,731 10th Ave,1.0,Sidewalk: Curb side : Cutout,37.77451599943423,-122.4681885889794,"(37.77451599943423, -122.46818858897939)"
63667,Permitted Site,Prunus blireiana :: Flowering Plum,4040 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,37.74758173912553,-122.43018947300344,"(37.74758173912553, -122.43018947300344)"
31267,Permitted Site,Prunus cerasifera :: Cherry Plum,2555 17th Ave,21.0,Sidewalk: Curb side : Cutout,37.73969026254781,-122.47433260742376,"(37.73969026254781, -122.47433260742375)"
81228,Permitted Site,Prunus cerasifera :: Cherry Plum,523 Kirkham St,1.0,Sidewalk: Curb side : Cutout,37.76022892223201,-122.46630363193876,"(37.76022892223201, -122.46630363193876)"
138063,DPW Maintained,Prunus cerasifera :: Cherry Plum,1791 Laguna St,5.0,Sidewalk: Curb side : Cutout,37.78721678491949,-122.42852416804304,"(37.787216784919494, -122.42852416804304)"
196196,DPW Maintained,Prunus cerasifera :: Cherry Plum,36 Zoe St,2.0,Sidewalk: Curb side : Cutout,37.77995561958594,-122.3961911300106,"(37.77995561958594, -122.39619113001059)"
236532,DPW Maintained,Prunus cerasifera :: Cherry Plum,364 Highland Ave,1.0,Sidewalk: Curb side : Cutout,37.73702630360934,-122.41733956299592,"(37.73702630360934, -122.41733956299593)"
213047,DPW Maintained,Prunus cerasifera :: Cherry Plum,183 Edgewood Ave,2.0,Sidewalk: Curb side : Cutout,37.76251687927856,-122.45501988418016,"(37.762516879278564, -122.45501988418017)"
92748,DPW Maintained,Prunus cerasifera :: Cherry Plum,2740 Broderick St,1.0,Sidewalk: Curb side : Cutout,37.79569134881817,-122.44361645546184,"(37.79569134881817, -122.44361645546185)"
235837,DPW Maintained,Prunus cerasifera :: Cherry Plum,1960 Bryant St,8.0,Sidewalk: Curb side : Cutout,37.76205590118173,-122.41025178829288,"(37.76205590118173, -122.41025178829288)"
237740,DPW Maintained,Prunus cerasifera :: Cherry Plum,153 Lower Ter,2.0,Sidewalk: Curb side : Cutout,37.76321922551701,-122.44265928991383,"(37.76321922551701, -122.44265928991383)"
47935,Permitted Site,Prunus cerasifera :: Cherry Plum,519 Gennessee St,1.0,Sidewalk: Curb side : Cutout,37.73246579741811,-122.4512448771483,"(37.73246579741811, -122.4512448771483)"
212613,DPW Maintained,Prunus cerasifera :: Cherry Plum,637 Mount Vernon Ave,1.0,:,37.71923979005632,-122.45068340811925,"(37.71923979005632, -122.45068340811923)"
236449,DPW Maintained,Prunus cerasifera :: Cherry Plum,1153 Clayton St,2.0,Sidewalk: Curb side : Cutout,37.76204175125756,-122.446973831489,"(37.76204175125756, -122.446973831489)"
236441,DPW Maintained,Prunus cerasifera :: Cherry Plum,1098 Clayton St,1.0,Sidewalk: Curb side : Cutout,37.76330982371641,-122.44689275059532,"(37.76330982371641, -122.44689275059532)"
236259,DPW Maintained,Prunus cerasifera :: Cherry Plum,409 Alabama St,1.0,Sidewalk: Curb side : Cutout,37.7637998026406,-122.41216655464672,"(37.7637998026406, -122.41216655464673)"
53440,DPW Maintained,Prunus blireiana :: Flowering Plum,62 Palm Ave,1.0,Sidewalk: Curb side : Cutout,37.78462880551582,-122.45787507433734,"(37.78462880551582, -122.45787507433734)"
123606,DPW Maintained,Prunus cerasifera :: Cherry Plum,200 04th Ave,5.0,Sidewalk: Curb side : Cutout,37.784772153289445,-122.46231702243334,"(37.784772153289445, -122.46231702243334)"
13074,Permitted Site,Prunus cerasifera :: Cherry Plum,645X Lombard St,4.0,Sidewalk: Curb side : Cutout,37.80287285693332,-122.41211903615591,"(37.80287285693332, -122.41211903615593)"
